Gene stable ID	NCBI gene (formerly Entrezgene) ID	HGNC symbol	Chromosome/scaffold name
ENSG00000225170			20
ENSG00000282182		IGKV2-40	CHR_HG2290_PATCH
ENSG00000243256		RPL30P14	18
ENSG00000265380			18
ENSG00000229222		KRT18P4	20
ENSG00000266258	101927481	LINC01909	18
ENSG00000224530		PPIAP10	20
ENSG00000224565		LINC01754	20
ENSG00000285095	112268208		18
ENSG00000236028			20
ENSG00000243810		CFAP61-AS1	20
ENSG00000267655			18
ENSG00000286250			20
ENSG00000282935		DUX4L34	20
ENSG00000239783			20
ENSG00000175354	5771	PTPN2	18
ENSG00000080189	51006	SLC35C2	20
ENSG00000283169		ACER2P1	CHR_HSCHR2_6_CTG7_2
ENSG00000283305		HNRNPA1P51	CHR_HSCHR2_6_CTG7_2
ENSG00000257585	101101773	LINC00609	14
ENSG00000271423		CYCSP1	14
ENSG00000254320			8
ENSG00000225661		RPL14P5	X
ENSG00000235039		MTND6P12	X
ENSG00000198718	23116	TOGARAM1	14
ENSG00000286431			X
ENSG00000120907	148	ADRA1A	8
ENSG00000236120	101928228		X
ENSG00000238193		HADHBP1	X
ENSG00000236188	100873944	PRKX-AS1	X
ENSG00000228572			X
ENSG00000236513	101928201		X
ENSG00000234622			X
ENSG00000183943	5613	PRKX	X
ENSG00000234470			CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000235458		HCG9P5	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000236625	721	C4B	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000283109			CHR_HSCHR4_8_CTG12
ENSG00000282938			CHR_HSCHR4_8_CTG12
ENSG00000228977	26692	OR2W1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000237098		HLA-T	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000236237	4050	LTB	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000236017		ASMTL-AS1	X
ENSG00000133878	78986	DUSP26	8
ENSG00000232577			CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000227853		C6orf47-AS1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000225574		DRAXINP1	X
ENSG00000177504	51480	VCX2	X
ENSG00000284539	100873946	VAV3-AS1	CHR_HSCHR1_6_CTG3
ENSG00000237369		UBDP1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000284338		LINC02785	CHR_HSCHR1_6_CTG3
ENSG00000230475	7920	ABHD16A	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000231044	7936	NELFE	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000231619		ANAPC15P1	X
ENSG00000231216	100093698		X
ENSG00000284468	29957	SLC25A24	CHR_HSCHR1_6_CTG3
ENSG00000225271		NOLC1P1	X
ENSG00000185291	3563	IL3RA	X
ENSG00000254917		OR7E15P	8
ENSG00000253685		MTND5P41	8
ENSG00000167034	4824	NKX3-1	8
ENSG00000232616	6499	SKIC2	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000285977			8
ENSG00000147416	526	ATP6V1B2	8
ENSG00000258935			14
ENSG00000053770	55745	AP5M1	14
ENSG00000283030	1447	CSN2	CHR_HSCHR4_9_CTG12
ENSG00000182162	286530	P2RY8	X
ENSG00000282835			CHR_HG26_PATCH
ENSG00000284319			CHR_HSCHR1_6_CTG3
ENSG00000283911			CHR_HSCHR1_6_CTG3
ENSG00000284432			CHR_HSCHR1_6_CTG3
ENSG00000284110		ST13P21	CHR_HSCHR1_6_CTG3
ENSG00000237730		RPS5P8	X
ENSG00000226313		MTCYBP12	X
ENSG00000182888		RPS27AP20	X
ENSG00000284199			CHR_HSCHR1_6_CTG3
ENSG00000215313		RPL6P30	X
ENSG00000169100	293	SLC25A6	X
ENSG00000283018	6183	MRPS12	CHR_HG26_PATCH
ENSG00000279099			8
ENSG00000282891	6779	STATH	CHR_HSCHR4_9_CTG12
ENSG00000253524			8
ENSG00000240519			8
ENSG00000254362			8
ENSG00000253476			8
ENSG00000180662		RPL21P8	14
ENSG00000248738	101929237		8
ENSG00000258740			14
ENSG00000165548	57156	TMEM63C	14
ENSG00000248964	101929470		8
ENSG00000284724			8
ENSG00000104756	54793	KCTD9	8
ENSG00000282930		ERVK9-11	CHR_HG26_PATCH
ENSG00000237531			X
ENSG00000282954	115290	FBXO17	CHR_HG26_PATCH
ENSG00000125363	265	AMELX	X
ENSG00000183311	203068	TUBB	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000282967	3347	HTN3	CHR_HSCHR4_9_CTG12
ENSG00000196433	438	ASMT	X
ENSG00000283917			CHR_HSCHR4_12_CTG12
ENSG00000286702			CHR_HG26_PATCH
ENSG00000284227	54798	DCHS2	CHR_HSCHR4_12_CTG12
ENSG00000227750		HTATSF1P1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000205677		LYPLA2P1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000236835	414760	HCG14	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000227429	10866	HCP5	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000243430	285830	HLA-F-AS1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000233498		PPP1R2P1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000151812	341880	SLC35F4	14
ENSG00000234364			CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000224740	10211	FLOT1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000271784		TP53RK-DT	20
ENSG00000223492			20
ENSG00000243844		RPL17P33	8
ENSG00000235415	105372672		20
ENSG00000243181			8
ENSG00000198768	164284	APCDD1L	20
ENSG00000287166	124901909		8
ENSG00000134013	4017	LOXL2	8
ENSG00000206357	7936	NELFE	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000267742		SINHCAFP2	18
ENSG00000242060		RPS3AP49	18
ENSG00000268573			18
ENSG00000186496	252884	ZNF396	18
ENSG00000286595	101927483		14
ENSG00000258600			14
ENSG00000088298	55741	EDEM2	20
ENSG00000088298	111089941	EDEM2	20
ENSG00000258580			14
ENSG00000259719		LINC02284	14
ENSG00000283046	3346	HTN1	CHR_HSCHR4_9_CTG12
ENSG00000284345			CHR_HG2236_PATCH
ENSG00000258622			14
ENSG00000284109		CDYLP1	CHR_HG2236_PATCH
ENSG00000258804	283585	LINC01148	14
ENSG00000231573	414765	HCG25	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000284017	23228	PLCL2	CHR_HG2236_PATCH
ENSG00000125378	652	BMP4	14
ENSG00000244329		UBA52P9	18
ENSG00000223571		DHRSX-IT1	X
ENSG00000263637			18
ENSG00000225955		OR2H5P	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000225763		MICG	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000235764		ETF1P1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000226985	100133123	LINC01203	X
ENSG00000081913	23239	PHLPP1	18
ENSG00000229252	3133	HLA-E	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000198457	1589	CYP21A2	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000229185	7932	OR2H2	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000224444		MAS1LP1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000229432	29113	C6orf15	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000233531	449493	DEFA10P	8
ENSG00000251191	619351	LINC00589	8
ENSG00000241880		RPL23AP1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000249030	26530	OR12D1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000284467			CHR_HSCHR4_12_CTG12
ENSG00000226923	401250	MCCD1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000283841			CHR_HSCHR4_12_CTG12
ENSG00000283957			CHR_HSCHR4_12_CTG12
ENSG00000283402			8
ENSG00000061337	11178	LZTS1	8
ENSG00000225453		PTMAP1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000229176	401251	SAPCD1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000228579		RPL32P1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000228959			20
ENSG00000229522		LINC01523	20
ENSG00000236011	7918	GPANK1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000283090	286828	CSN1S2AP	CHR_HSCHR4_9_CTG12
ENSG00000226850	534	ATP6V1G2	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000282870		FRG1DP	20
ENSG00000188873		RPL10AP2	8
ENSG00000184661	157313	CDCA2	8
ENSG00000169084	207063	DHRSX	X
ENSG00000230133	400839	LINC01721	20
ENSG00000112461	81696	OR5V1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000283960	100500913	MIR3714	CHR_HG2236_PATCH
ENSG00000284477		PLCL2-AS1	CHR_HG2236_PATCH
ENSG00000288083			20
ENSG00000258859		LINC02296	14
ENSG00000279322			20
ENSG00000234510		HLA-DQB3	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000285826			14
ENSG00000230141	3111	HLA-DOA	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000258960		FTH1P13	14
ENSG00000261208			14
ENSG00000226111	28973	MRPS18B	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000124151	8202	NCOA3	20
ENSG00000259077			14
ENSG00000282868	401137	PRR27	CHR_HSCHR4_9_CTG12
ENSG00000259078		PTBP1P	14
ENSG00000285612			14
ENSG00000242571		RPL21P11	14
ENSG00000259005			14
ENSG00000258849		OR7E159P	14
ENSG00000258998		LINC02302	14
ENSG00000258392		RPA2P1	14
ENSG00000258746			14
ENSG00000071991	28513	CDH19	18
ENSG00000258845			14
ENSG00000258501		EIF3LP1	14
ENSG00000226050		USP8P1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000232126	3106	HLA-B	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000259019		EIF4BP1	14
ENSG00000257900			14
ENSG00000175800		OR52B3P	11
ENSG00000259100		COILP1	14
ENSG00000255177	112577518	MUC5B-AS1	11
ENSG00000258549			14
ENSG00000211839		TRAJ50	14
ENSG00000171999		OR52P2P	11
ENSG00000224212	6890	TAP1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000146950	357	SHROOM2	X
ENSG00000248537			5
ENSG00000258928	102723604		14
ENSG00000221996	143496	OR52B4	11
ENSG00000279521			14
ENSG00000242417		RPL18P1	14
ENSG00000283740	112488746	TAF11L11	5
ENSG00000258536		FKBP1BP1	14
ENSG00000248908	340107	LINC02239	5
ENSG00000248223			5
ENSG00000286464			14
ENSG00000053918	3784	KCNQ1	11
ENSG00000182836	345557	PLCXD3	5
ENSG00000282867		RNU6-130P	CHR_HG2072_PATCH
ENSG00000100650	6430	SRSF5	14
ENSG00000282877			CHR_HG2072_PATCH
ENSG00000287304			CHR_HG2072_PATCH
ENSG00000283085	7162	TPBG	CHR_HG2072_PATCH
ENSG00000249521	101929153	LINC02114	5
ENSG00000248490			5
ENSG00000283963			CHR_HSCHR5_8_CTG1
ENSG00000248813			5
ENSG00000284036			CHR_HSCHR5_8_CTG1
ENSG00000233787			5
ENSG00000284420			CHR_HSCHR5_8_CTG1
ENSG00000248337			5
ENSG00000283989			CHR_HSCHR5_8_CTG1
ENSG00000226732		ZDHHC20P2	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000253200			8
ENSG00000286432			5
ENSG00000242039		RPL23AP1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000254067			8
ENSG00000228684		HLA-DQB3	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000250822	401177	LINC02111	5
ENSG00000284287			CHR_HSCHR5_8_CTG1
ENSG00000235107	6015	RING1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000284434			CHR_HSCHR5_8_CTG1
ENSG00000248426			5
ENSG00000249941			5
ENSG00000248145			5
ENSG00000284230			CHR_HSCHR5_8_CTG1
ENSG00000240376			5
ENSG00000254244		PAICSP4	8
ENSG00000286377			5
ENSG00000284151			CHR_HSCHR5_8_CTG1
ENSG00000231913		RARRES2P3	X
ENSG00000251654			5
ENSG00000011201	3730	ANOS1	X
ENSG00000244708		RPL23P10	8
ENSG00000284072			CHR_HSCHR5_8_CTG1
ENSG00000276332			5
ENSG00000285601			8
ENSG00000250455			5
ENSG00000253504		MTCYBP19	8
ENSG00000270966			8
ENSG00000250667			5
ENSG00000283730			CHR_HSCHR5_8_CTG1
ENSG00000272338			8
ENSG00000253208		PSME2P5	8
ENSG00000251629	105374676	LINC02241	5
ENSG00000104219	51201	ZDHHC2	8
ENSG00000233462		RPL7AP7	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000224290	55937	APOM	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000228900		HCG9P5	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000232781		OR2AD1P	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000223533	54535	CCHCR1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000236236	7148	TNXB	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000266256	284276	LINC00683	18
ENSG00000266256	400660	LINC00683	18
ENSG00000283079		LINC01515	CHR_HSCHR10_1_CTG6
ENSG00000235923		TRIM26BP	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000250305	57604	TRMT9B	8
ENSG00000223868			CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000226879		RPL32P1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000282825	9811	CTIF	CHR_HG2213_PATCH
ENSG00000206232	100507463	PSMB8-AS1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000206509	3134	HLA-F	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000265836		CCND3P2	18
ENSG00000266743			18
ENSG00000267726	105372138	LINC02565	18
ENSG00000215492		HNRNPA1P7	18
ENSG00000283802	9509	ADAMTS2	CHR_HG30_PATCH
ENSG00000275512			18
ENSG00000273232			18
ENSG00000279367			18
ENSG00000266003			18
ENSG00000225048		OR2AD1P	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000224841	5863	RGL2	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000229328	26692	OR2W1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000264340			18
ENSG00000266520		RAC1P1	18
ENSG00000234668	534	ATP6V1G2	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000214255		RPS2P6	18
ENSG00000169093	8623	ASMTL	X
ENSG00000267354			18
ENSG00000286800			18
ENSG00000206026	284274	SMIM21	18
ENSG00000236629		MTCO3P1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000223793	3117	HLA-DQA2	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000223793	3118	HLA-DQA2	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000267313	641516		18
ENSG00000188512			8
ENSG00000279949			8
ENSG00000228425	6293	VPS52	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000285669			8
ENSG00000284858			8
ENSG00000279881			8
ENSG00000253206			8
ENSG00000287935	124902606		11
ENSG00000168300	115294	PCMTD1	8
ENSG00000132109	6737	TRIM21	11
ENSG00000287993			18
ENSG00000265378			18
ENSG00000265552			18
ENSG00000141428	83608	C18orf21	18
ENSG00000236175		SSU72P6	11
ENSG00000285985		LINC02689	11
ENSG00000255492		H3P33	11
ENSG00000149054	7762	ZNF215	11
ENSG00000259151		CAP2P1	14
ENSG00000284058		RNA5SP266	CHR_HG2067_PATCH
ENSG00000284367		LINC01606	CHR_HG2067_PATCH
ENSG00000272057		ANKH-DT	5
ENSG00000286479			14
ENSG00000286625			5
ENSG00000258558			14
ENSG00000249016			5
ENSG00000279097			5
ENSG00000248118	285577	LINC01019	5
ENSG00000033170	2530	FUT8	14
ENSG00000253903			8
ENSG00000283080			CHR_HG2213_PATCH
ENSG00000270255			8
ENSG00000250668	101929261	LINC02123	5
ENSG00000253569		VENTXP5	8
ENSG00000282900	100616366	MIR4743	CHR_HG2213_PATCH
ENSG00000282959			CHR_HG2213_PATCH
ENSG00000254491			8
ENSG00000284315			CHR_HG30_PATCH
ENSG00000283002			CHR_HG2213_PATCH
ENSG00000254156		MTND6P20	8
ENSG00000284358			CHR_HG30_PATCH
ENSG00000286254			5
ENSG00000282923			CHR_HG2213_PATCH
ENSG00000230571			5
ENSG00000286741			5
ENSG00000284579			CHR_HG30_PATCH
ENSG00000104765	665	BNIP3L	8
ENSG00000284494			CHR_HG30_PATCH
ENSG00000283939			CHR_HG30_PATCH
ENSG00000056097	51663	ZFR	5
ENSG00000283896			CHR_HG30_PATCH
ENSG00000238216	105375013	HCG20	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000205755	64109	CRLF2	X
ENSG00000284549	100289470		CHR_HG30_PATCH
ENSG00000264104			18
ENSG00000224619	414777	HCG18	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000264634			18
ENSG00000264334			18
ENSG00000137313	7726	TRIM26	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000265217			18
ENSG00000134504	284252	KCTD1	18
ENSG00000284124			CHR_HG30_PATCH
ENSG00000284260	80230	RUFY1	CHR_HG30_PATCH
ENSG00000231743			10
ENSG00000226694			10
ENSG00000287653			10
ENSG00000237500			10
ENSG00000151240	22982	DIP2C	10
ENSG00000254946	105376569	LINC02751	11
ENSG00000256206			11
ENSG00000275194		FAM9CP1	X
ENSG00000223511		LINC02968	X
ENSG00000110328	374378	GALNT18	11
ENSG00000225722		RPL24P9	X
ENSG00000177138	171483	FAM9B	X
ENSG00000283185		PRAMEF28P	CHR_HSCHR1_5_CTG3
ENSG00000283425	101929983	PRAMEF27	CHR_HSCHR1_5_CTG3
ENSG00000227460	8831	SYNGAP1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000267882	100131496		20
ENSG00000124089	4159	MC3R	20
ENSG00000283292	649330	HNRNPCL3	CHR_HSCHR1_5_CTG3
ENSG00000233052			10
ENSG00000286610			10
ENSG00000234556		LINC00701	10
ENSG00000238282			20
ENSG00000141424	25800	SLC39A6	18
ENSG00000234962		LINC00700	10
ENSG00000283348	441873	PRAMEF25	CHR_HSCHR1_5_CTG3
ENSG00000283348	645359	PRAMEF25	CHR_HSCHR1_5_CTG3
ENSG00000101425	671	BPI	20
ENSG00000236871	751580	LINC00106	X
ENSG00000254661	105376570	LINC02682	11
ENSG00000196139	8644	AKR1C3	10
ENSG00000283022	54768	HYDIN	CHR_HSCHR16_4_CTG3_1
ENSG00000004961	3052	HCCS	X
ENSG00000253455			8
ENSG00000197892	23303	KIF13B	8
ENSG00000286959			11
ENSG00000175868	797	CALCB	11
ENSG00000283661		PRAMEF34P	CHR_HSCHR1_5_CTG3
ENSG00000283410		PRAMEF35P	CHR_HSCHR1_5_CTG3
ENSG00000283370	440563	HNRNPCL2	CHR_HSCHR1_5_CTG3
ENSG00000283624			CHR_HSCHR1_5_CTG3
ENSG00000283781	8711	TNK1	CHR_HG2046_PATCH
ENSG00000283216	645359	PRAMEF26	CHR_HSCHR1_5_CTG3
ENSG00000283873		SSU72P4	11
ENSG00000096150	6222	RPS18	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000254444			11
ENSG00000284306		SSU72P2	11
ENSG00000255323	102723378	LINC01495	11
ENSG00000177054	54503	ZDHHC13	11
ENSG00000226774		HIKESHIP1	X
ENSG00000283231	101060301	HNRNPCL4	CHR_HSCHR1_5_CTG3
ENSG00000146938	57502	NLGN4X	X
ENSG00000283139	343070	PRAMEF9	CHR_HSCHR1_5_CTG3
ENSG00000267797		NRBF2P1	18
ENSG00000264189		AIDAP3	18
ENSG00000267301		RPL23AP77	18
ENSG00000198081	7541	ZBTB14	18
ENSG00000283565		PRAMEF31P	CHR_HSCHR1_5_CTG3
ENSG00000283150	343068	PRAMEF5	CHR_HSCHR1_5_CTG3
ENSG00000283650		PRAMEF32P	CHR_HSCHR1_5_CTG3
ENSG00000235658	79969	ATAT1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000202250		RNU6-771P	CHR_HSCHR1_5_CTG3
ENSG00000283387	391002	PRAMEF8	CHR_HSCHR1_5_CTG3
ENSG00000229396	1616	DAXX	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000229396	113523636	DAXX	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000225788			CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000228926		UQCRHP1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000223775	28973	MRPS18B	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000234693	100506175	RIPOR3-AS1	20
ENSG00000286229			20
ENSG00000235922			20
ENSG00000237423		LINC01522	20
ENSG00000124126	57580	PREX1	20
ENSG00000276397	400661	LINC01879	18
ENSG00000233904	3133	HLA-E	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000266227		NPM1P2	18
ENSG00000166573	2587	GALR1	18
ENSG00000284009	57048	PLSCR3	CHR_HG2046_PATCH
ENSG00000283488	645382	PRAMEF33	CHR_HSCHR1_5_CTG3
ENSG00000225269		LINC00705	10
ENSG00000283543		PRAMEF36P	CHR_HSCHR1_5_CTG3
ENSG00000234746	26707	OR2J2	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000273368			18
ENSG00000290628			CHR_HSCHR1_5_CTG3
ENSG00000266489			18
ENSG00000233617			CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000227912			10
ENSG00000227686	7407	VARS1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000227720	6992	PPP1R11	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000284556		PRDX2P3	CHR_HG30_PATCH
ENSG00000287907			18
ENSG00000283808	101928445	RUFY1-AS1	CHR_HG30_PATCH
ENSG00000228291		ARL4AP3	10
ENSG00000267413		LINC01901	18
ENSG00000287471			5
ENSG00000178462	79861	TUBAL3	10
ENSG00000263720			18
ENSG00000267746			18
ENSG00000284254	3187	HNRNPH1	CHR_HG30_PATCH
ENSG00000263655			18
ENSG00000285679			X
ENSG00000264693			18
ENSG00000177058	153129	SLC38A9	5
ENSG00000265643			18
ENSG00000223742			X
ENSG00000284069			CHR_HG30_PATCH
ENSG00000198795	25925	ZNF521	18
ENSG00000284506			CHR_HG30_PATCH
ENSG00000276467			X
ENSG00000232392		GOT2P7	X
ENSG00000225384			X
ENSG00000183304	171482	FAM9A	X
ENSG00000284445			CHR_HG30_PATCH
ENSG00000283718	646019	CBY3	CHR_HG30_PATCH
ENSG00000238071	106478957	DDX39B-AS1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000206510	346171	ZFP57	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000283777	821	CANX	CHR_HG30_PATCH
ENSG00000223639	1192	CLIC1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000287848			10
ENSG00000271251			10
ENSG00000185736	105	ADARB2	10
ENSG00000229012			X
ENSG00000235569	4439	MSH5	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000285756			X
ENSG00000235650	6222	RPS18	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000226264	3109	HLA-DMB	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000253837	100507156		8
ENSG00000259000		DOCK11P1	14
ENSG00000240463		RPS19P3	14
ENSG00000230997		RAB42P1	14
ENSG00000258856			14
ENSG00000253330			8
ENSG00000287663			14
ENSG00000254165			8
ENSG00000280450			10
ENSG00000272375			8
ENSG00000259061			14
ENSG00000226990			10
ENSG00000259044			14
ENSG00000254033			8
ENSG00000236990			10
ENSG00000253142			8
ENSG00000283244	728339	FRG1-DT	CHR_HSCHR4_11_CTG12
ENSG00000253418		SNX18P27	8
ENSG00000197930	30001	ERO1A	14
ENSG00000232170	100507143	LINC00708	10
ENSG00000253654		IDI1P2	8
ENSG00000254542	100874013	NAV2-AS3	11
ENSG00000233109			8
ENSG00000287590			8
ENSG00000266196			18
ENSG00000149050	7761	ZNF214	11
ENSG00000286693			8
ENSG00000266288		LINC02974	18
ENSG00000266840			18
ENSG00000265936			18
ENSG00000104613	55174	INTS10	8
ENSG00000286727			18
ENSG00000267661			18
ENSG00000224788	101928298	LINC02670	10
ENSG00000267051			18
ENSG00000283630	2483	FRG1	CHR_HSCHR4_11_CTG12
ENSG00000264127		SCML2P1	18
ENSG00000265717			18
ENSG00000234306			10
ENSG00000263405		PA2G4P3	18
ENSG00000230014		LINC00709	10
ENSG00000230573	105376365	LINC02639	10
ENSG00000263355		AKR1B10P2	18
ENSG00000263588			18
ENSG00000272436		CUX2P1	10
ENSG00000287120			10
ENSG00000267066			18
ENSG00000154059	55364	IMPACT	18
ENSG00000254456		LINC02699	11
ENSG00000134463	79746	ECHDC3	10
ENSG00000255558			11
ENSG00000215182	4586	MUC5AC	11
ENSG00000235592			X
ENSG00000101955	8406	SRPX	X
ENSG00000230624	7919	DDX39B	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000137403	3134	HLA-F	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000212743		LINC02656	10
ENSG00000286687			10
ENSG00000231039			10
ENSG00000151465	8872	CDC123	10
ENSG00000283397		MLLT10P2	CHR_HSCHR4_11_CTG12
ENSG00000283437			CHR_HSCHR4_11_CTG12
ENSG00000283655		TUBB7P	CHR_HSCHR4_11_CTG12
ENSG00000283308		RNA5SP174	CHR_HSCHR4_11_CTG12
ENSG00000283282		RNA5SP175	CHR_HSCHR4_11_CTG12
ENSG00000283184		DUX4L9	CHR_HSCHR4_11_CTG12
ENSG00000285202	448831	FRG2	CHR_HSCHR4_11_CTG12
ENSG00000283250		RARRES2P4	CHR_HSCHR4_11_CTG12
ENSG00000283570		DUX4L8	CHR_HSCHR4_11_CTG12
ENSG00000284483		TMEM256-PLSCR3	CHR_HG2046_PATCH
ENSG00000284475	124905408		CHR_HSCHR4_11_CTG12
ENSG00000284475	124905409		CHR_HSCHR4_11_CTG12
ENSG00000284475	124905410		CHR_HSCHR4_11_CTG12
ENSG00000284475	124905411		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906452		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906453		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906454		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906456		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906457		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906458		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906459		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906460		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906461		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906462		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906463		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906464		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906465		CHR_HSCHR4_11_CTG12
ENSG00000284475	124906466		CHR_HSCHR4_11_CTG12
ENSG00000284002	124905408		CHR_HSCHR4_11_CTG12
ENSG00000284002	124905409		CHR_HSCHR4_11_CTG12
ENSG00000284002	124905410		CHR_HSCHR4_11_CTG12
ENSG00000284002	124905411		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906452		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906453		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906454		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906456		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906457		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906458		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906459		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906460		CHR_HSCHR4_11_CTG12
ENSG00000284002	124906461		CHR_HSCHR4_11_CTG12
